Name,Age,Marks,City,Phone,Grades,Email
RaVi,27.0,72.0,BLR,Not Provided,C,ravi@msbc.com
Riya,24.0,72.0,BLR,Not Provided,C,riya@msbc.com
Anita,26.0,72.0,PN,Not Provided,C,anita@msbc.com
AkshaT,22.0,79.0,BLR,Not Provided,B,akshat@msbc.com
Priya,23.0,72.0,DL,9674956245.0,C,priya@msbc.com
VikaS,26.0,72.0,MH,Not Provided,C,vikas@msbc.com
KaRaN,26.0,72.0,DL,9305858927.0,C,karan@msbc.com
VikaS,28.0,72.0,KL,Not Provided,C,vikas@msbc.com
Riya,35.0,75.0,KL,Not Provided,B,riya@msbc.com
Riya,24.0,66.0,MH,Not Provided,C,riya@msbc.com
SonaL,26.0,72.0,BLR,9565773465.0,C,sonal@msbc.com
Priya,26.0,94.0,BLR,Not Provided,A,priya@msbc.com
AkshaT,26.0,58.0,TN,9680884201.0,D,akshat@msbc.com
RaVi,26.0,72.0,BLR,9315608720.0,C,ravi@msbc.com
SonaL,31.0,72.0,DL,9681640025.0,C,sonal@msbc.com
VikaS,26.0,72.0,HYD,Not Provided,C,vikas@msbc.com
Riya,26.0,72.0,DL,9324085759.0,C,riya@msbc.com
Anita,30.0,91.0,HYD,9508496377.0,A,anita@msbc.com
Anita,34.0,72.0,DL,9276879595.0,C,anita@msbc.com
SonaL,35.0,59.0,BLR,Not Provided,D,sonal@msbc.com
KaRaN,31.0,67.0,BLR,Not Provided,C,karan@msbc.com
Amit,26.0,100.0,TN,Not Provided,A,amit@msbc.com
RaVi,20.0,70.0,MH,9970318921.0,C,ravi@msbc.com
Neha,33.0,97.0,HYD,9769824941.0,A,neha@msbc.com
AkshaT,34.0,72.0,KL,Not Provided,C,akshat@msbc.com
Priya,26.0,72.0,HYD,9984401949.0,C,priya@msbc.com
VikaS,19.0,94.0,KL,Not Provided,A,vikas@msbc.com
Anita,19.0,70.0,KL,9589874940.0,C,anita@msbc.com
RaVi,26.0,93.0,HYD,9254113175.0,A,ravi@msbc.com
Riya,26.0,72.0,KL,9807894706.0,C,riya@msbc.com
Riya,22.0,72.0,MH,9720437289.0,C,riya@msbc.com
VikaS,26.0,72.0,MH,9966773048.0,C,vikas@msbc.com
Neha,26.0,55.0,KL,Not Provided,D,neha@msbc.com
Priya,35.0,99.0,DL,9415943625.0,A,priya@msbc.com
Anita,26.0,72.0,DL,9346808608.0,C,anita@msbc.com
SonaL,25.0,83.0,KL,Not Provided,B,sonal@msbc.com
AkshaT,19.0,72.0,TN,Not Provided,C,akshat@msbc.com
SonaL,26.0,86.0,HYD,Not Provided,A,sonal@msbc.com
Amit,24.0,65.0,BLR,Not Provided,C,amit@msbc.com
Anita,26.0,72.0,DL,9144599823.0,C,anita@msbc.com
SonaL,20.0,73.0,TN,Not Provided,C,sonal@msbc.com
Anita,28.0,72.0,BLR,Not Provided,C,anita@msbc.com
RaVi,20.0,72.0,KL,9103386130.0,C,ravi@msbc.com
AkshaT,26.0,72.0,KL,Not Provided,C,akshat@msbc.com
VikaS,24.0,57.0,HYD,9786398142.0,D,vikas@msbc.com
KaRaN,30.0,65.0,BLR,Not Provided,C,karan@msbc.com
Riya,33.0,72.0,TN,9615333658.0,C,riya@msbc.com
AkshaT,26.0,68.0,KL,9554655268.0,C,akshat@msbc.com
KaRaN,26.0,72.0,TN,Not Provided,C,karan@msbc.com
AkshaT,26.0,72.0,MH,9119817108.0,C,akshat@msbc.com
RaVi,26.0,72.0,HYD,Not Provided,C,ravi@msbc.com
Amit,35.0,72.0,KL,9359969785.0,C,amit@msbc.com
Priya,26.0,60.0,TN,Not Provided,D,priya@msbc.com
Riya,26.0,69.0,HYD,Not Provided,C,riya@msbc.com
Anita,26.0,72.0,HYD,9895492821.0,C,anita@msbc.com
AkshaT,26.0,72.0,BLR,Not Provided,C,akshat@msbc.com
